,MyStockLabelKey,Old,New
1,ane.27.8,ane-bisc,ane.27.8
2,ane.27.9a,ane-pore,ane.27.9a
3,ank.27.78abd,anb-78ab,ank.27.78ab
4,ank.27.8c9a,anb-8c9a,ank.27.8c9a
5,bli.27.5b67,bli-5b67,bli.27.5b67
6,boc.27.6-8,boc-nea,boc.27.6-8
7,bss.27.4bc7ad-h,bss-47,bss.27.4bc7ad-h
8,bss.27.8ab,bss-8ab,bss.27.8ab
9,cap.27.1-2,cap-bars,cap.27.1-2
10,cap.27.2a514,cap-icel,cap.27.2a514
11,cod.21.1,cod-ingr,cod.21.1
12,cod.2127.1f14,cod-segr,cod.2127.1f14
13,cod.27.1-2,cod-arct,cod.27.1-2
14,cod.27.21,cod-kat,cod.27.21
15,cod.27.22-24,cod-2224,cod.27.22-24
16,cod.27.24-32,cod-2532,cod.27.24-32
17,cod.27.47d20,cod-347d,cod.27.47d20
18,cod.27.5a,cod-iceg,cod.27.5a
19,cod.27.5b1,cod-farp,cod.27.5b1
20,cod.27.6a,cod-scow,cod.27.6a
21,cod.27.7a,cod-iris,cod.27.7a
22,cod.27.7e-k,cod-7e-k,cod.27.7e-k
23,dgs.27.nea,dgs-nea,dgs.27.nea
24,ghl.27.1-2,ghl-arct,ghl.27.1-2
25,ghl.27.561214,ghl.27.561214,ghl.27.561214
26,had.27.1-2,had-arct,had.27.1-2
27,had.27.46a20(34),had-34,had.27.46a20
,had.27.46a20(scow),had-scow,had.27.46a20
28,had.27.5a,had-iceg,had.27.5a
29,had.27.5b,had-faro,had.27.5b
30,had.27.6a,had-scow,had.27.6a
31,had.27.6b,had-rock,had.27.6b
32,had.27.7a,had-iris,had.27.7a
33,had.27.7b-k,had-7b-k,had.27.7b-k
34,her.27.1-24a514a,her-noss,her.27.1-24a514a
35,her.27.20-24,her-3a22,her.27.20-24
36,her.27.25-2932,her-2532-gor,her.27.25-2932
37,her.27.28,her-riga,her.27.28
39,her.27.3031,her-30,her.27.3031
40,her.27.3a47d,her-47d3,her.27.3a47d
41,her.27.5a,her-vasu,her.27.5a
43,her.27.6a7bc,her-irlw,her.27.6a7bc
44,her.27.irls,her-irls,her.27.irls
45,her.27.nirs,her-nirs,her.27.nirs
46,hke.27.3a46-8abd,hke-nrtn,hke.27.3a46-8abd
