Ty,newname.x,Type,AssessmentYear.x,mean,sd,gamma,delta,refy,refx,change,y,event,year,Redondeo ,Revision_RP_torelative,RP_relativetotimeseries,Revision_Assessesment_type,Former_Assesment_method_,Current_Assesment_method_,Revision_RP_FMSY_definition,Former_FMSYdefinition_,Current_FMSYdefinition_,Revision_RP_SR_functional_form,Revision_RP_input_timeseriesRecruitment,Revision_RP_input_parameterstimeseries,Revision_Assessment_Stock_definition,Revision_Assessment_input_data_FisheriesDependent,Revision_Assessment_input_data_FisheriesIndependent,Revision_Assessment_methodology,Revision_Assessment_maturity,Revision_Assessment_M,,
1,ank.27.8c9a,D,2012,-2.16165791447862,0.973536598734194,0.812293934329976,2.32558139534884,0.43,1,1.32558139534884,-0.65071360823811,ank.27.8c9a 2012,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,bli.27.5b67,D,2016,-0.914658521303259,0.44041116408427,0.850817954843759,1.71428571428571,0.07,0.12,0.714285714285714,-0.503689526341141,bli.27.5b67 2016,2016,0,0,0,0,0,0,1,SPR_proxy_F50,FMSY,0,0,0,0,0,0,0,0,0,,
3,bss.27.4bc7ad-h,D,2019,0.12683661584427,0.078371235421277,0.965022378539272,0.84384236453202,0.203,0.1713,-0.15615763546798,0.143605037031362,bss.27.4bc7ad-h 2019,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
4,bss.27.8ab,D,2019,0.001159468754242,0.022070387406309,0.996999395627878,0.995934959349594,0.123,0.1225,-0.004065040650407,0.001068780916155,bss.27.8ab 2019,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,cod.21.1,D,2019,-0.030129116323146,0.024817613300092,0.997208967317908,1.00746268656716,0.268,0.27,0.007462686567164,-0.010177765773336,cod.21.1 2019,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,cod.27.22-24,D,2012,-0.189054166666667,0.145065931505706,0.997990065842671,1.04166666666667,0.24,0.25,0.041666666666667,-0.041929536791036,cod.27.22-24 2012,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,cod.27.22-24,D,2014,-0.173101967799642,0.041233501771468,0.997449540477552,1.04,0.25,0.26,0.04,-0.04091390338697,cod.27.22-24 2014,NA,0,0,0,0,0,0,1,YPR_proxy_Fmax,FMSY,0,0,0,0,0,0,1,0,0,,
8,cod.27.24-32,D,2011,-0.0548223615465,0.119740630333875,1.0159911279648,1.03448275862069,0.29,0.3,0.03448275862069,-0.017875242967362,cod.27.24-32 2011,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,cod.27.24-32,D,2013,-1.04998389694042,0.512356004956585,0.990102474381405,1.53333333333333,0.3,0.46,0.533333333333333,-0.354280994968649,cod.27.24-32 2013,2013,0,0,0,1,XSA,SAM,0,0,0,0,0,0,0,0,0,1,0,0,,
10,cod.27.47d20,D,2015,-1.71351596459956,0.329869153546307,1.02395372407485,1.73684210526316,0.19,0.33,0.736842105263158,-0.410450886138721,cod.27.47d20 2015,2015,0,0,0,0,0,0,1,YPR_proxy_Fmax,FMSY,0,0,0,0,1,1,1,1,1,,
11,cod.27.47d20,D,2017,0.175113889964773,0.031864695871688,1.00718661639962,0.939393939393939,0.33,0.31,-0.060606060606061,0.072166398102825,cod.27.47d20 2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
12,cod.27.5b1,D,2017,0.801084811212815,0.231749031325649,1.08222036872324,0.71875,0.32,0.23,-0.28125,0.505697904310599,cod.27.5b1 2017,2017,0,0,0,1,XSA,SAM,1,FMSY_provisional,FMSY,0,0,0,0,0,0,0,0,0,,
13,cod.27.6a,D,2016,0.535168614673736,0.196206645663589,0.99294326586077,0.894736842105263,0.19,0.17,-0.105263157894737,0.109760120667919,cod.27.6a 2016,NA,0,0,0,0,0,0,1,FMSY_proxy_analogy,FMSY,0,0,0,0,0,0,0,0,0,,
14,cod.27.6a,D,2017,0.011796187587423,0.246399761236862,0.984497439377713,0.982352941176471,0.17,0.167,-0.017647058823529,0.002183022121025,cod.27.6a 2017,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,cod.27.6a,D,2019,-2.37594772451407,0.510913795095365,0.970667805155011,1.73652694610778,0.167,0.29,0.736526946107784,-0.441029229445218,cod.27.6a 2019,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,
16,cod.27.7a,D,2016,0.185177170811318,0.063140387803515,0.989154697064497,0.925,0.4,0.37,-0.075,0.069356429258916,cod.27.7a 2016,2016,0,0,0,1,ASAP,SAM,1,FMSY_provisional,FMSY,0,0,0,0,0,0,0,0,0,,
17,cod.27.7a,D,2017,-0.051457884342964,0.878456182053658,0.820089547385737,0.835135135135135,0.37,0.309,-0.164864864864865,-0.018015752321286,cod.27.7a 2017,2017,0,0,0,1,SAM,ASAP,0,0,0,0,0,0,0,1,0,0,0,0,,
18,cod.27.7a,D,2018,-0.838967118819461,0.392122994426239,0.989443271683939,1.42394822006472,0.309,0.44,0.423948220064725,-0.30514097511287,cod.27.7a 2018,2018,0,0,0,0,0,0,1,FMSY,Fp0.5,0,0,0,0,0,0,0,0,0,,
19,cod.27.7e-k,D,2015,0.484898255813954,0.150171462656159,1.02303115389758,0.8,0.4,0.32,-0.2,0.278788942371975,cod.27.7e-k 2015,2015,0,0,0,0,0,0,1,YPR_proxy_Fmax,FMSY,0,0,0,0,1,0,0,0,0,,
20,cod.27.7e-k,D,2016,-0.154730113636363,0.109360938801615,1.01732046059595,1.09375,0.32,0.35,0.09375,-0.069878436026558,cod.27.7e-k 2016,2016,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,
21,cod.27.7e-k,D,2017,-0.001345743963308,0.053489874532414,1.00790844808336,1.00857142857143,0.35,0.353,0.008571428571429,-0.000657346092982,cod.27.7e-k 2017,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,had.27.46a20,D,2017,1.3225590153394,0.877702787435736,1.01549486424078,0.633333333333333,0.3,0.19,-0.366666666666667,0.603412943538079,had.27.46a20 2017,NA,0,0,0,0,0,0,1,FMSY_provisional,FMSY,0,0,0,0,0,0,1,0,0,0.3 es F management MSE eu norway management strategy,
23,had.27.5b,D,2017,1.0216238315357,0.274076657586345,1.13481204227975,0.66,0.25,0.165,-0.34,0.719412185272341,had.27.5b 2017,2017,0,0,0,1,XSA,SAM,1,SPR_proxy_F35,FMSY,0,1,1,0,0,0,0,0,0,,
24,had.27.6a,D,2017,1.21713450292398,0.953017611262865,1.00672766415501,0.633333333333333,0.3,0.19,-0.366666666666667,0.589569996034219,had.27.6a 2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
25,had.27.6b,D,2014,0.944022727272727,0.329246995605061,1.02167465791475,0.666666666666667,0.3,0.2,-0.333333333333333,0.532511986872132,had.27.6b 2014,2014,0,0,0,0,0,0,1,FMSY_proxy_analogy,FMSY,0,0,0,0,0,0,0,0,0,,
26,had.27.6b,D,2019,0.652040564373897,0.582818467550455,1.06643902737796,0.84,0.2,0.168,-0.16,0.269570270688051,had.27.6b 2019,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,
27,had.27.7a,D,2018,-0.001749105544533,0.079941398674618,1.03615248845777,1.03703703703704,0.27,0.28,0.037037037037037,-0.000852957558575,had.27.7a 2018,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,
28,had.27.7b-k,D,2014,-0.499015151515151,0.17403127999345,0.966443385289192,1.17857142857143,0.28,0.33,0.178571428571429,-0.179987430663716,had.27.7b-k 2014,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.33 = Fmax(landings 0.28+discards 0.05),
29,had.27.7b-k,D,2015,-0.504484126984127,0.258405600194798,0.946069814163737,1.21212121212121,0.33,0.4,0.212121212121212,-0.219492403314917,had.27.7b-k 2015,2015,0,0,0,0,0,0,1,YPR_proxy_Fmax,FMSY,0,0,0,0,0,0,0,0,0,,
30,her.27.1-24a514a,P,2018,-0.003235961637016,0.058618271126186,1.0429648241206,1.04666666666667,0.15,0.157,0.046666666666667,-0.003536792241462,her.27.1-24a514a 2018,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
