"","newname.x","AssessmentYear.x","n_b_c","mean.pos_b_c","mean.pre_b_c","pos_b_c","pre_b_c","gamma_b_c","delta_b_c","y_b_c","event","n_b","mean.pos_b","mean.pre_b","pos_b","pre_b","change_b","gamma_b","delta_b","y_b","n_c","mean.pos_c","mean.pre_c","pos","pre","gamma_c","delta_c","y_c","n","mean.pos","mean.pre","change","gamma","delta","y"
"1","ank.27.8c9a",2012,NA,NA,NA,NA,NA,NA,NA,NA,"ank.27.8c9a 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.732,2.34093023255814,1,0.43,0.727200476852772,2.32558139534884,-0.687303794953308,31,1.16032258064516,3.32198049512378,1.32558139534884,0.812293934329976,2.32558139534884,-0.65071360823811
"2","bli.27.5b67",2016,NA,NA,NA,NA,NA,NA,NA,NA,"bli.27.5b67 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.4,0.811085714285714,0.12,0.07,0.845427645484007,1.71428571428571,-0.506833873467662,19,0.901258771929824,1.81591729323308,0.714285714285714,0.850817954843759,1.71428571428571,-0.503689526341141
"3","bss.27.4bc7ad-h",2016,5,1.05202446145348,1.4239265,12673,8000,1.17038221425052,1.584125,-0.26118064278354,"bss.27.4bc7ad-h 2016",31,1.05314056044983,1.44816903225806,12673,8000,0.584125,1.15201074816609,1.584125,-0.272777875378462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","bss.27.4bc7ad-h",2018,5,0.826624136650577,0.917625503037954,13465,12673,0.957126916791612,1.06249506825535,-0.0991704852209357,"bss.27.4bc7ad-h 2018",33,1.45210606623232,1.02729718872621,13465,12673,0.062495068255346,1.50185900524907,1.06249506825535,0.413520918939578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","bss.27.4bc7ad-h",2019,5,0.824939400235473,0.726303007797995,14439,13465,1.21796543237144,1.07233568510954,0.135806118628814,"bss.27.4bc7ad-h 2019",34,1.25996524934511,1.42799163408401,14439,13465,0.0723356851095433,0.946157993241594,1.07233568510954,-0.117666224877203,5,1.06446215216968,1.06892192118226,0.1713,0.203,0.840321675177383,0.84384236453202,-0.00417221213655117,33,1.0100689763956,0.883232360551326,-0.15615763546798,0.965022378539272,0.84384236453202,0.143605037031362
"6","cod.27.22-24",2012,NA,NA,NA,NA,NA,NA,NA,NA,"cod.27.22-24 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.0696,3.395,0.25,0.24,0.941826215022091,1.04166666666667,-0.0958468335787924,40,4.3198,4.50885416666667,0.0416666666666667,0.997990065842671,1.04166666666667,-0.0419295367910361
"7","cod.27.22-24",2014,5,0.900104395604396,1.56837391304348,36400,23000,0.908273869917888,1.58260869565217,-0.426090686590346,"cod.27.22-24 2014",44,0.939315684315685,1.5055790513834,36400,23000,0.582608695652174,0.987373707540991,1.58260869565217,-0.376110019960363,5,2.86615384615385,3.0136,0.26,0.25,0.989116007432971,1.04,-0.048926915929836,43,4.05778175313059,4.23088372093023,0.04,0.997449540477552,1.04,-0.0409139033869698
"8","cod.27.22-24",2015,5,0.394927083333333,0.877769230769231,38400,36400,0.474642262478561,1.05494505494505,-0.550078688692198,"cod.27.22-24 2015",21,0.655389384920635,0.871425954997384,38400,36400,0.0549450549450549,0.793411978057942,1.05494505494505,-0.247911562465909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","cod.27.22-24",2019,5,0.664701042238069,0.422880208333333,21876,38400,0.895458968137647,0.5696875,0.57184240155813,"cod.27.22-24 2019",25,1.0507844212836,0.596295833333333,21876,38400,-0.4303125,1.00389557755868,0.5696875,0.762186422483692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","cod.27.24-32",2013,NA,NA,NA,NA,NA,NA,NA,NA,"cod.27.24-32 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.35608695652174,1.53333333333333,0.46,0.3,1.35608695652174,1.53333333333333,-0.115595463137996,45,1.91371980676329,2.9637037037037,0.533333333333333,0.990102474381405,1.53333333333333,-0.354280994968649
