"","newname.x","AssessmentYear.x","n","pos","pre","event"
"1","bli.27.5b67",2016,20,0.12,0.07,"bli.27.5b67 2016"
"2","bss.27.4bc7ad-h",2019,35,0.1713,0.203,"bss.27.4bc7ad-h 2019"
"3","bss.27.8ab",2020,35,0.123,0.1225,"bss.27.8ab 2020"
"4","cod.27.22-24",2012,41,0.25,0.24,"cod.27.22-24 2012"
"5","cod.27.22-24",2014,44,0.26,0.25,"cod.27.22-24 2014"
"6","cod.27.24-32",2013,46,0.46,0.3,"cod.27.24-32 2013"
"7","cod.27.47d20",2015,52,0.33,0.19,"cod.27.47d20 2015"
"8","cod.27.47d20",2017,54,0.31,0.33,"cod.27.47d20 2017"
"9","cod.27.5b1",2017,58,0.23,0.32,"cod.27.5b1 2017"
"10","cod.27.6a",2016,35,0.17,0.19,"cod.27.6a 2016"
"11","cod.27.6a",2019,38,0.29,0.167,"cod.27.6a 2019"
"12","cod.27.6a",2020,39,0.3,0.29,"cod.27.6a 2020"
"13","cod.27.7a",2016,48,0.37,0.4,"cod.27.7a 2016"
"14","cod.27.7a",2017,49,0.309,0.37,"cod.27.7a 2017"
"15","cod.27.7a",2018,50,0.44,0.309,"cod.27.7a 2018"
"16","cod.27.7e-k",2015,44,0.32,0.4,"cod.27.7e-k 2015"
"17","cod.27.7e-k",2016,45,0.35,0.32,"cod.27.7e-k 2016"
"18","had.27.46a20",2017,78,0.19,0.3,"had.27.46a20 2017"
"19","had.27.5b",2017,61,0.165,0.25,"had.27.5b 2017"
"20","had.27.6a",2018,72,0.19,0.3,"had.27.6a 2018"
"21","had.27.6b",2014,23,0.2,0.3,"had.27.6b 2014"
"22","had.27.6b",2019,28,0.168,0.2,"had.27.6b 2019"
"23","had.27.7a",2018,25,0.28,0.27,"had.27.7a 2018"
"24","had.27.7b-k",2014,21,0.33,0.28,"had.27.7b-k 2014"
"25","had.27.7b-k",2015,22,0.4,0.33,"had.27.7b-k 2015"
"26","her.27.1-24a514a",2018,30,0.157,0.15,"her.27.1-24a514a 2018"
"27","her.27.20-24",2015,24,0.32,0.28,"her.27.20-24 2015"
"28","her.27.20-24",2018,27,0.31,0.32,"her.27.20-24 2018"
"29","her.27.25-2932",2013,38,0.26,0.16,"her.27.25-2932 2013"
"30","her.27.25-2932",2015,41,0.22,0.26,"her.27.25-2932 2015"
"31","her.27.25-2932",2020,46,0.21,0.22,"her.27.25-2932 2020"
"32","her.27.28",2015,38,0.32,0.35,"her.27.28 2015"
"33","her.27.3031",2013,39,0.15,0.19,"her.27.3031 2013"
"34","her.27.3031",2017,37,0.21,0.15,"her.27.3031 2017"
