Ind,Abbreviated name
1,"CaS,AI black-bellied anglerfish"
2,"CS,EC,FG blue ling"
3,"NS,IS,EC,BC,CS seabass"
4,"NS,IS,EC,BC,CS seabass"
5,"NS,IS,EC,BC,CS seabass"
6,wBS cod
7,wBS cod
8,wBS cod
9,wBS cod
10,eBS cod
11,"NS,eEC,S cod"
12,"NS,eEC,S cod"
13,FP cod
14,WS cod
15,WS cod
16,IS cod
17,IS cod
18,IS cod
19,"eEC,CS cod"
20,"eEC,CS cod"
21,NA spurdog
22,NA spurdog
23,"NS,WS,S haddock"
24,"NS,WS,S haddock"
25,R haddock
26,R haddock
27,R haddock
28,IS haddock
29,IS haddock
30,"CS,EC haddock"
31,"CS,EC haddock"
32,"NA,AO herring"
33,"S,K,wBS herring"
34,"S,K,wBS herring"
35,cBS herring
36,cBS herring
37,GR herring
38,GB herring
39,GB herring
40,"NS,S,K,eEC herring"
41,"NS,S,K,eEC herring"
42,"WS,WI herring"
43,"IS,CS herring"
44,"IS,CS herring"
45,IS herring
46,"NS,CS,nBB hake"
47,"NS,CS,nBB hake"
48,"NS,CS,nBB hake"
49,"CaS,AI hake"
50,NA horse mackerel
51,NA horse mackerel
52,"sBB,AI megrim"
53,"sBB,AI megrim"
54,NA mackerel
55,NA mackerel
56,NA mackerel
57,"CaS,AI megrim"
58,"CaS,AI white anglerfish"
59,"CaS,AI white anglerfish"
60,"CaS,AI sardine"
61,"NS,S plaice"
62,"NS,S plaice"
63,IS plaice
64,eEC plaice
65,wEC plaice
66,"NS,R,WS,S,K saithe"
67,"NS,R,WS,S,K saithe"
68,"NS,R,WS,S,K saithe"
69,FG saithe
70,FG saithe
71,"S,K,NS northern shrimp"
72,"S,K,NS northern shrimp"
73,"S,K,wBS sole"
74,"S,K,wBS sole"
75,"S,K,wBS sole"
76,NS sole
77,IS sole
78,eEC sole
79,eEC sole
80,eEC sole
81,wEC sole
82,"BC,CS sole"
83,"BC,CS sole"
84,BB sole
85,BS sprat
86,BS sprat
87,NS sprat
88,NA blue whiting
89,NA blue whiting
90,"NS,eEC whiting"
91,"CS,eEC whiting"
92,"CS,eEC whiting"
